rally_uid,actionId,pointId,serverGetPoint
15188,4,0,0.9998781681060791
15191,8,0,0.9997184872627258
15194,13,7,0.08211987465620041
15198,6,7,0.07820276916027069
15201,4,0,0.9997779726982117
15204,4,0,0.9997583031654358
15207,9,7,0.9996998310089111
15210,6,7,0.8875932097434998
15213,0,9,0.9701884388923645
15217,5,8,0.9732956886291504
15220,6,8,0.9606106281280518
15223,13,9,0.9617688059806824
15226,1,7,0.08248885720968246
15229,6,9,0.9732065200805664
15232,8,7,0.01208642777055502
15235,4,0,0.9991536140441895
15238,4,0,0.9999561309814453
15242,9,7,0.9997972846031189
15245,0,8,0.9659228324890137
15249,6,9,0.9618295431137085
15253,6,9,0.875290036201477
15256,4,8,0.9997368454933167
15259,9,8,0.9999450445175171
15263,14,9,0.8827963471412659
15267,0,8,0.9696286916732788
15271,8,7,0.9997687935829163
15274,6,7,0.009327960200607777
15277,4,7,0.9998192191123962
15281,11,7,0.010586599819362164
15284,13,7,0.007815600372850895
15287,14,7,0.28165072202682495
15291,8,7,0.011789213865995407
15294,0,8,0.961519181728363
15295,2,8,0.007691824808716774
15299,1,7,0.8722225427627563
15303,2,7,0.008322245441377163
15306,1,8,0.06988444924354553
15310,4,8,0.9997805953025818
15312,4,8,0.9998279809951782
15316,2,8,0.9685280323028564
15319,5,8,0.08607905358076096
15323,6,9,0.9745668768882751
15327,0,8,0.8784167170524597
15329,2,8,0.007691824808716774
15335,2,8,0.17888592183589935
15338,11,0,0.9998531341552734
15344,13,7,0.08065034449100494
15347,6,8,0.8690694570541382
15350,2,8,0.06933476775884628
15354,1,7,0.9594636559486389
15358,13,9,0.7999461889266968
15362,6,9,0.9625352025032043
15366,14,8,0.3300603926181793
15370,9,8,0.9660792350769043
15374,8,7,0.9998388290405273
15377,8,7,0.0067305718548595905
15381,4,0,0.9999092817306519
15384,4,0,0.9997655749320984
15387,4,0,0.999441921710968
15390,9,9,0.7484692335128784
15393,8,7,0.8868730664253235
15397,13,9,0.964553952217102
15401,1,8,0.0840514749288559
15403,9,8,0.9673511385917664
15406,9,8,0.962827205657959
15410,4,0,0.9998834133148193
15413,9,7,0.8113434910774231
15416,5,7,0.07447995990514755
15418,13,9,0.9682464003562927
15422,14,8,0.9674266576766968
15426,9,7,0.9728512167930603
15430,4,0,0.9998770952224731
15433,6,9,0.007330581545829773
15436,9,7,0.2851467430591583
15440,9,9,0.885093092918396
15442,7,9,0.011470845900475979
15446,13,7,0.08657180517911911
15450,11,8,0.9994624257087708
15454,0,8,0.9643334150314331
15457,2,7,0.01145306508988142
15460,2,7,0.2382255345582962
15463,13,7,0.08281666040420532
15466,2,7,0.07972652465105057
15470,7,8,0.9659371972084045
15474,4,0,0.999940037727356
15478,2,7,0.008974038995802402
15482,2,8,0.9716377258300781
15485,3,8,0.09660397469997406
15488,4,7,0.9999405145645142
15492,4,8,0.9997933506965637
15495,4,0,0.9997305274009705
15498,7,8,0.009201649576425552
15501,11,0,0.9997665286064148
15504,2,7,0.0088970847427845
15507,6,8,0.09420951455831528
15511,11,8,0.9996956586837769
15514,2,9,0.008223993703722954
15518,2,7,0.009097098372876644
15522,0,8,0.9729750156402588
15523,10,7,0.9666096568107605
15527,12,8,0.3220956027507782
15530,3,8,0.09413608908653259
15533,3,7,0.22917534410953522
15537,3,8,0.271135151386261
15541,7,0,0.9995354413986206
15543,12,7,0.8892127275466919
15547,12,7,0.8779827356338501
15551,3,7,0.08016451448202133
15554,3,8,0.8777393102645874
15558,12,8,0.28861650824546814
15561,10,7,0.27995073795318604
15563,10,0,0.9998569488525391
15566,12,8,0.9631720185279846
15569,3,7,0.22867625951766968
15573,7,0,0.999799907207489
15576,3,9,0.9637178778648376
15579,3,9,0.956645667552948
15583,12,8,0.0784994438290596
15585,7,0,0.9998579025268555
15588,3,9,0.7453491687774658
15592,12,8,0.16429495811462402
15596,3,5,0.6882228851318359
15599,12,8,0.8183760046958923
15602,0,9,0.9613699913024902
15603,3,5,0.8959272503852844
15607,12,8,0.3444168269634247
15610,10,7,0.08472750335931778
15613,12,5,0.9700304269790649
15616,10,5,0.9693162441253662
15619,12,7,0.29977351427078247
15622,12,8,0.2171006202697754
15626,9,7,0.9999033212661743
15629,14,8,0.8729419112205505
15632,10,7,0.007997291162610054
15635,12,5,0.9548449516296387
15639,8,7,0.9997994303703308
15641,12,8,0.7469695210456848
15645,8,7,0.009488423354923725
15649,9,0,0.9997740387916565
15652,3,9,0.8544486165046692
15655,8,0,0.9996292591094971
15659,12,7,0.08396392315626144
15660,12,7,0.08343283832073212
15664,12,8,0.0945955216884613
15668,10,0,0.9995198249816895
15672,10,0,0.999230146408081
15675,9,0,0.9998396635055542
15678,12,8,0.30098697543144226
15681,8,7,0.9997604489326477
15684,12,9,0.8720142841339111
15688,8,7,0.011188218370079994
15691,3,9,0.8798221349716187
15694,10,9,0.0074480557814240456
15695,7,0,0.9999042749404907
15704,5,7,0.007647376041859388
15707,8,7,0.008999969810247421
15710,10,0,0.9997962117195129
