rally_uid,actionId,pointId,serverGetPoint
15188,7,0,0.6738661527633667
15191,4,0,0.48351141810417175
15194,13,0,0.4945444166660309
15198,6,7,0.41640886664390564
15201,4,0,0.5679165124893188
15204,7,0,0.5782837867736816
15207,8,0,0.6275672316551208
15210,6,0,0.7044061422348022
15213,0,0,0.8770424723625183
15217,5,0,0.8710405230522156
15220,5,0,0.4678930938243866
15223,13,0,0.878285825252533
15226,1,7,0.5362551808357239
15229,6,0,0.7297344207763672
15232,1,0,0.0007411374244838953
15235,11,0,0.40867915749549866
15238,7,0,0.6037408113479614
15242,9,0,0.7134921550750732
15245,0,0,0.9323000311851501
15249,2,0,0.7388697862625122
15253,6,0,0.6287814974784851
15256,7,0,0.37399494647979736
15259,1,0,0.8083642721176147
15263,3,7,0.8388199210166931
15267,0,0,0.9420464634895325
15271,8,0,0.6951714158058167
15274,13,0,0.0005162294837646186
15277,7,0,0.4649474620819092
15281,7,0,0.0005622030585072935
15284,13,0,0.0004352825053501874
15287,1,7,0.4609675407409668
15291,7,0,0.0006658815545961261
15294,2,0,0.773456871509552
15295,6,0,0.0004966493579559028
15299,14,9,0.6145830154418945
15303,2,0,0.00041587158921174705
15306,1,0,0.17289221286773682
15310,11,1,0.016065573319792747
15312,4,0,0.5677540302276611
15316,13,0,0.8893652558326721
15319,0,0,0.1662781983613968
15323,13,0,0.7429339289665222
15327,13,0,0.9316025972366333
15329,6,0,0.0004966493579559028
15335,0,0,0.15233084559440613
15338,11,1,0.5600724816322327
15344,13,0,0.436538964509964
15347,2,0,0.4713490307331085
15350,0,0,0.12325257807970047
15354,1,7,0.4294188618659973
15358,13,0,0.958651602268219
15362,13,0,0.8174500465393066
15366,14,0,0.518378496170044
15370,9,0,0.5957639813423157
15374,1,0,0.5796782970428467
15377,9,0,0.00044690733193419874
15381,7,0,0.7901039719581604
15384,7,0,0.5580196976661682
15387,4,0,0.6039258241653442
15390,9,6,0.6101164221763611
15393,3,0,0.7335047125816345
15397,9,0,0.846300482749939
15401,3,0,0.38970619440078735
15403,1,0,0.7570018172264099
15406,9,0,0.6725219488143921
15410,4,0,0.6780599355697632
15413,9,0,0.9323223829269409
15416,9,0,0.1665477603673935
15418,9,0,0.7381234169006348
15422,0,0,0.9177684187889099
15426,9,0,0.7511130571365356
15430,4,0,0.6068328022956848
15433,3,0,0.0004823708441108465
15436,9,6,0.6231717467308044
15440,9,0,0.6387761831283569
15442,7,0,0.0006335676298476756
15446,13,0,0.29703888297080994
15450,4,1,0.35268187522888184
15454,0,0,0.7439985871315002
15457,2,0,0.0005706373485736549
15460,2,8,0.5811123847961426
15463,0,0,0.10740368813276291
15466,2,0,0.5602006912231445
15470,11,2,0.5247639417648315
15474,4,0,0.5478394627571106
15478,0,0,0.00037442153552547097
15482,13,0,0.9048263430595398
15485,3,0,0.6358628273010254
15488,4,0,0.7630757093429565
15492,4,0,0.3396579921245575
15495,4,0,0.4530079960823059
15498,7,0,0.00047706879558973014
15501,4,1,0.5178511738777161
15504,2,0,0.0004089255235157907
15507,6,0,0.561387836933136
15511,11,1,0.41549310088157654
15514,2,0,0.00046817903057672083
15518,0,0,0.000353390903910622
15522,0,0,0.9509021639823914
15523,3,4,0.7941420078277588
15527,12,4,0.7422688007354736
15530,3,7,0.5142786502838135
15533,3,4,0.5182617902755737
15537,3,4,0.7057126760482788
15541,7,0,0.4107014238834381
15543,12,4,0.8017833828926086
15547,12,6,0.7297669053077698
15551,3,7,0.6147046089172363
15554,3,7,0.6312961578369141
15558,12,5,0.5406019687652588
15561,10,4,0.621967077255249
15563,7,0,0.67332524061203
15566,12,4,0.5468716025352478
15569,3,4,0.619376003742218
15573,4,0,0.5871596336364746
15576,3,5,0.6962990760803223
15579,3,0,0.6099031567573547
15583,12,5,0.5676196813583374
15585,7,0,0.6497073173522949
15588,11,4,0.4950201213359833
15592,12,0,0.46340349316596985
15596,3,3,0.4051472246646881
15599,0,0,0.9970598816871643
15602,7,1,0.7289162278175354
15603,3,0,0.8637142777442932
15607,12,3,0.6938858032226562
15610,3,7,0.24968169629573822
15613,12,0,0.8525169491767883
15616,3,4,0.7180973291397095
15619,12,5,0.45293882489204407
15622,12,4,0.39860063791275024
15626,8,0,0.7507151365280151
15629,0,0,0.9716325402259827
15632,3,0,0.0005588244530372322
15635,12,0,0.7123633027076721
15639,8,0,0.6948274970054626
15641,12,4,0.6396879553794861
15645,3,0,0.0006234343745745718
15649,9,0,0.6236960887908936
15652,11,4,0.7902464866638184
15655,9,0,0.6910631060600281
15659,0,0,0.18531371653079987
15660,12,0,0.20545713603496552
15664,12,4,0.5850186944007874
15668,10,0,0.5541406273841858
15672,10,0,0.576311469078064
15675,7,0,0.7334371209144592
15678,12,4,0.5268357992172241
15681,8,0,0.7115143537521362
15684,12,0,0.8576623201370239
15688,3,0,0.0008202673052437603
15691,3,2,0.6493717432022095
15694,7,0,0.0005341287469491363
15695,7,0,0.7167038917541504
15704,3,0,0.0004958392819389701
15707,1,0,0.0005586183397099376
15710,10,0,0.6089465022087097
15713,5,0,0.9043970108032227
15720,1,0,0.5475006699562073
15723,6,0,0.5207723379135132
15727,5,0,0.628722608089447
15731,7,0,0.7764341235160828
15732,13,0,0.7845024466514587
15735,6,9,0.4078699052333832
15739,13,0,0.561509907245636
15742,3,0,0.0004847887612413615
15746,2,8,0.4249528646469116
15748,13,0,0.19029870629310608
15751,7,0,0.6717464327812195
15754,1,0,0.48263901472091675
15757,10,0,0.0005334423622116446
15761,1,0,0.6370589137077332
15765,7,0,0.7637217044830322
15769,2,0,0.13546715676784515
15773,7,0,0.6114051342010498
15777,1,0,0.0005342346266843379
15780,7,0,0.0005178286228328943
15783,1,0,0.0006545864744111896
15786,0,0,0.8823293447494507
15789,2,0,0.37072819471359253
15793,1,0,0.0004601143882609904
15796,7,0,0.583106517791748
15799,8,0,0.0005661837640218437
15802,7,0,0.6971293687820435
15805,8,0,0.6888077855110168
15809,1,0,0.0007945565739646554
15812,7,0,0.6264310479164124
15815,8,0,0.6582004427909851
15818,1,0,0.5475006699562073
15822,1,0,0.000522791815456003
15826,1,0,0.0005472041084431112
15829,10,4,0.7050598859786987
15832,7,0,0.5358501672744751
15836,3,0,0.5925871729850769
15839,7,0,0.662115216255188
15841,1,0,0.7945342063903809
