rally_uid,actionId,pointId,serverGetPoint
15188,4,9,0.999693751335144
15191,8,1,0.9994851350784302
15194,13,0,0.0002786229597404599
15198,5,7,0.000365567539120093
15201,4,1,0.9997442364692688
15204,4,4,0.9996786117553711
15207,8,9,0.9993515610694885
15210,5,0,0.9996881484985352
15213,0,0,0.9998087286949158
15217,5,0,0.9998006224632263
15220,1,0,0.9997166991233826
15223,13,0,0.9997974038124084
15226,1,7,0.00041630235500633717
15229,6,9,0.9997954964637756
15232,8,8,0.0005248851957730949
15235,4,1,0.999362051486969
15238,4,2,0.9996022582054138
15242,8,8,0.9990494847297668
15245,0,0,0.9998201727867126
15249,6,9,0.9994527697563171
15253,6,9,0.9996442794799805
15256,4,1,0.9995455145835876
15259,9,9,0.9995023012161255
15263,14,7,0.999667763710022
15267,0,0,0.999862551689148
15271,8,9,0.9996347427368164
15274,6,7,0.0002409886656096205
15277,4,3,0.9994636178016663
15281,11,4,0.000668761960696429
15284,5,0,0.00041950930608436465
15287,14,7,0.001099633052945137
15291,8,7,0.003984031267464161
15294,0,0,0.999489426612854
15295,2,0,0.0003200031351298094
15299,1,9,0.9993619322776794
15303,2,9,0.00040986371459439397
15306,1,7,0.00022544062812812626
15310,4,3,0.9987201690673828
15312,4,3,0.999480664730072
15316,2,0,0.9997435212135315
15319,6,0,0.00019837213039863855
15323,6,7,0.9997280240058899
15327,0,0,0.9994663596153259
15329,2,0,0.0003200031351298094
15335,2,0,0.0002713573630899191
15338,4,3,0.9993488192558289
15344,13,0,0.00026690683444030583
15347,6,0,0.9994181394577026
15350,2,0,0.000319003127515316
15354,1,7,0.9996991157531738
15358,2,8,0.9997157454490662
15362,2,0,0.9997674822807312
15366,14,0,0.0028320758137851954
15370,9,0,0.9997356534004211
15374,8,9,0.9996875524520874
15377,8,6,0.00045783084351569414
15381,4,9,0.9994346499443054
15384,4,9,0.9995644688606262
15387,4,4,0.9990655779838562
15390,9,6,0.9996250867843628
15393,8,8,0.9994937181472778
15397,13,0,0.9998325109481812
15401,1,7,0.002206759760156274
15403,8,7,0.9998108744621277
15406,9,0,0.999783456325531
15410,4,3,0.9996590614318848
15413,9,7,0.9997039437294006
15416,9,0,0.0002811518497765064
15418,13,0,0.999795138835907
15422,14,0,0.9998608827590942
15426,9,7,0.9998496770858765
15430,4,1,0.9994906187057495
15433,6,9,0.0003406619362067431
15436,9,6,0.0026791312266141176
15440,9,8,0.9993083477020264
15442,7,1,0.00039873519563116133
15446,13,0,0.000301060063065961
15450,4,1,0.9995672106742859
15454,0,0,0.9998403787612915
15457,2,7,0.0003678414213936776
15460,2,8,0.0007219978142529726
15463,2,0,0.00022493219876196235
15466,2,7,0.00033735958277247846
15470,7,2,0.999800980091095
15474,4,9,0.9996606111526489
15478,2,0,0.0007737166597507894
15482,2,0,0.9998713731765747
15485,3,0,0.0002683144703041762
15488,4,0,0.999640703201294
15492,4,2,0.9991808533668518
15495,4,2,0.9994352459907532
15498,7,1,0.0004113448958378285
15501,11,1,0.999134361743927
15504,2,9,0.0003467162314336747
15507,6,8,0.0003674907493405044
15511,11,1,0.9994171857833862
15514,2,9,0.0002914353390224278
15518,2,0,0.00043601630022749305
15522,0,0,0.9996753931045532
15523,3,4,0.99979168176651
15527,12,4,0.002163310768082738
15530,3,7,0.0002795230830088258
15533,3,1,0.0006105410866439342
15537,3,4,0.0035866566468030214
15541,7,2,0.9994789958000183
15543,12,4,0.9994649291038513
15547,12,6,0.9989420771598816
15551,3,5,0.00032569869654253125
15554,3,5,0.998755931854248
15558,12,5,0.003314756555482745
15561,10,4,0.001481327461078763
15563,10,3,0.9990873336791992
15566,12,5,0.9997386336326599
15569,3,4,0.0008677602163515985
15573,7,3,0.9995198249816895
15576,3,5,0.9996278285980225
15579,3,9,0.9997451901435852
15583,12,5,0.0016229384345933795
15585,7,3,0.9993845224380493
15588,3,6,0.999650239944458
