rally_uid,neighbors_used,train_rallies_used
15188,15,14995
15191,15,14995
15194,15,14995
15198,15,14995
15201,15,14995
15204,15,14995
15207,15,14995
15210,15,14995
15213,15,14995
15217,15,14995
15220,15,14995
15223,15,14995
15226,15,14995
15229,15,14995
15232,15,14995
15235,15,14995
15238,15,14995
15242,15,14995
15245,15,14995
15249,15,14995
15253,15,14995
15256,15,14995
15259,15,14995
15263,15,14995
15267,15,14995
15271,15,14995
15274,15,14995
15277,15,14995
15281,15,14995
15284,15,14995
15287,15,14995
15291,15,14995
15294,15,14995
15295,15,14995
15299,15,14995
15303,15,14995
15306,15,14995
15310,15,14995
15312,15,14995
15316,15,14995
15319,15,14995
15323,15,14995
15327,15,14995
15329,15,14995
15335,15,14995
15338,15,14995
15344,15,14995
15347,15,14995
15350,15,14995
15354,15,14995
15358,15,14995
15362,15,14995
15366,15,14995
15370,15,14995
15374,15,14995
15377,15,14995
15381,15,14995
15384,15,14995
15387,15,14995
15390,15,14995
15393,15,14995
15397,15,14995
15401,15,14995
15403,15,14995
15406,15,14995
15410,15,14995
15413,15,14995
15416,15,14995
15418,15,14995
15422,15,14995
15426,15,14995
15430,15,14995
15433,15,14995
15436,15,14995
15440,15,14995
15442,15,14995
15446,15,14995
15450,15,14995
15454,15,14995
15457,15,14995
15460,15,14995
15463,15,14995
15466,15,14995
15470,15,14995
15474,15,14995
15478,15,14995
15482,15,14995
15485,15,14995
15488,15,14995
15492,15,14995
15495,15,14995
15498,15,14995
15501,15,14995
15504,15,14995
15507,15,14995
15511,15,14995
15514,15,14995
15518,15,14995
15522,15,14995
15523,15,14995
15527,15,14995
15530,15,14995
15533,15,14995
15537,15,14995
15541,15,14995
15543,15,14995
15547,15,14995
15551,15,14995
15554,15,14995
15558,15,14995
15561,15,14995
15563,15,14995
15566,15,14995
15569,15,14995
15573,15,14995
15576,15,14995
15579,15,14995
15583,15,14995
15585,15,14995
15588,15,14995
15592,15,14995
15596,15,14995
15599,15,14995
15602,15,14995
15603,15,14995
15607,15,14995
15610,15,14995
15613,15,14995
15616,15,14995
15619,15,14995
15622,15,14995
15626,15,14995
15629,15,14995
15632,15,14995
15635,15,14995
15639,15,14995
15641,15,14995
15645,15,14995
15649,15,14995
15652,15,14995
15655,15,14995
15659,15,14995
15660,15,14995
15664,15,14995
15668,15,14995
15672,15,14995
15675,15,14995
15678,15,14995
15681,15,14995
15684,15,14995
15688,15,14995
15691,15,14995
15694,15,14995
15695,15,14995
15704,15,14995
15707,15,14995
15710,15,14995
15713,15,14995
15720,15,14995
15723,15,14995
15727,15,14995
15731,15,14995
15732,15,14995
15735,15,14995
15739,15,14995
15742,15,14995
15746,15,14995
15748,15,14995
15751,15,14995
15754,15,14995
15757,15,14995
15761,15,14995
15765,15,14995
15769,15,14995
15773,15,14995
15777,15,14995
15780,15,14995
15783,15,14995
15786,15,14995
15789,15,14995
15793,15,14995
15796,15,14995
15799,15,14995
15802,15,14995
15805,15,14995
15809,15,14995
15812,15,14995
15815,15,14995
15818,15,14995
15822,15,14995
15826,15,14995
15829,15,14995
15832,15,14995
15836,15,14995
15839,15,14995
15841,15,14995
15844,15,14995
15847,15,14995
15850,15,14995
15853,15,14995
15857,15,14995
15862,15,14995
15865,15,14995
15869,15,14995
15872,15,14995
15875,15,14995
15879,15,14995
15882,15,14995
15885,15,14995
15889,15,14995
15893,15,14995
15897,15,14995
15901,15,14995
15905,15,14995
15907,15,14995
15910,15,14995
15914,15,14995
15917,15,14995
15920,15,14995
15923,15,14995
15927,15,14995
15930,15,14995
15933,15,14995
15937,15,14995
15940,15,14995
15942,15,14995
15945,15,14995
15948,15,14995
15951,15,14995
15954,15,14995
15957,15,14995
15961,15,14995
15964,15,14995
15967,15,14995
15970,15,14995
15973,15,14995
15977,15,14995
15981,15,14995
15985,15,14995
15988,15,14995
15992,15,14995
15995,15,14995
15999,15,14995
16003,15,14995
16006,15,14995
16010,15,14995
16014,15,14995
16017,15,14995
16020,15,14995
16023,15,14995
16027,15,14995
16030,15,14995
16032,15,14995
16035,15,14995
16039,15,14995
16042,15,14995
16046,15,14995
16049,15,14995
16052,15,14995
16056,15,14995
16060,15,14995
16063,15,14995
16064,15,14995
16068,15,14995
16071,15,14995
16075,15,14995
16078,15,14995
16081,15,14995
16085,15,14995
16088,15,14995
16091,15,14995
16094,15,14995
16098,15,14995
16102,15,14995
16105,15,14995
16106,15,14995
16109,15,14995
16113,15,14995
16117,15,14995
16121,15,14995
16124,15,14995
16127,15,14995
16131,15,14995
16135,15,14995
16138,15,14995
16141,15,14995
16144,15,14995
16147,15,14995
16151,15,14995
16154,15,14995
16158,15,14995
16162,15,14995
16165,15,14995
16168,15,14995
16170,15,14995
16173,15,14995
16176,15,14995
16183,15,14995
16187,15,14995
16189,15,14995
16192,15,14995
16196,15,14995
16200,15,14995
16203,15,14995
16205,15,14995
16208,15,14995
16211,15,14995
16214,15,14995
16218,15,14995
16222,15,14995
16223,15,14995
16226,15,14995
16229,15,14995
16232,15,14995
16236,15,14995
16239,15,14995
16242,15,14995
16246,15,14995
16249,15,14995
16252,15,14995
16256,15,14995
16259,15,14995
16262,15,14995
16266,15,14995
16269,15,14995
16273,15,14995
16276,15,14995
16279,15,14995
16283,15,14995
16287,15,14995
16288,15,14995
16291,15,14995
16294,15,14995
16297,15,14995
16300,15,14995
16304,15,14995
16307,15,14995
16311,15,14995
16314,15,14995
16318,15,14995
16322,15,14995
16326,15,14995
16327,15,14995
16330,15,14995
16333,15,14995
16337,15,14995
16340,15,14995
16344,15,14995
16347,15,14995
16350,15,14995
16354,15,14995
16358,15,14995
16362,15,14995
16366,15,14995
16369,15,14995
16371,15,14995
16374,15,14995
16378,15,14995
16381,15,14995
16385,15,14995
16388,15,14995
16391,15,14995
16395,15,14995
16399,15,14995
